userName,Rating,Review,Tanggal
Pengguna Google,2,"Banyak bug, jadi lemot (foto atau video sering nggak muncul/nggak keputer) padahal wifi lancar. Ganti kuota juga lancar pdhl. Sering ke refresh sendiri padahal lagi asik baca timeline. Intinya udah nggak kaya dulu dah",2025-03-11 15:06:40
Pengguna Google,1,"Saya baru instal lagi x ini, mau login eh ""memuat"" udh ditunggu beberapa menit malah ""ada kesalahan teknis"" terus! Padahal koneksi lancar pakai wifi juga tetep aja ""ada kesalahan teknis"". Gimana mau main aplikasinya, login aja gabisa.",2025-03-10 14:18:48
Pengguna Google,1,"semenjak jadi X malah lemot, minta update sering tapi aplikasi ga membaik. sering refresh sendiri dan yg paling parah pas dibuka mau scroll2 ga bisa karna masih loading seperi tidak ada jaringan padahal jaringan bagus. Tolong perbaiki lagi!",2025-02-04 22:06:28
Pengguna Google,4,"Kok banyak video permasalahan dan lemot padahal wifi lancar tolong diperbaiki. Saya mau unduh videonya biar gak lemot, setelah unduh kok malah videonya rusak, Aku kira-kira mungkin videonya jadi rusak setelah upload? Ini sangat buruk :(. Saya rindu aplikasi twitter lama videonya utuh dan gak lemot",2025-01-15 13:22:01
Pengguna Google,5,"Untuk pihak X, mohon tambahkan fitur ""juga bisa mematikan kolom quote post atau kutipan postingan pengguna/tidak hanya mematikan kolom komen. Ukuran teks diperkecil lagi, tema X dari versi mobile juga diterapkan di versi aplikasi",2025-03-04 18:53:12
Pengguna Google,3,"Pihak ""X"" tolong ini bug atau emang gitu, di perbaiki Padahal dulu bisa lihat semua postingan sampe habis, tapi kenapa sekarang gak bisa lihat postingan foto sampai habis, mohon di perbaiki🙏 Dan juga sering refres ngulang dari awal pas lihat-lihat postingan Mohon di perbaiki jika itu memang bug🙏",2025-02-10 04:33:08
Pengguna Google,2,"Sekarang buka reply postingan balasan dari orang lain tidak ditemukan, harus nelewati postingan rekomendasi dan kadang tidak ada komentar sama sekali, jadi harus pindah opsi dari relevan ke paling banyak disukai. X sekarang jadi platform yang jelek, sudah algoritma jelek, sekarang ditambah kolom reply mau lihat komentar orang aja harus effort. sudah gitu ada bug ketika memutar video tapi suaranya keluar sendiri padahal sudah diclose videonya",2025-03-25 21:38:37
Pengguna Google,1,"Aku coba dulu tapi bukan sekarang aku kasih 1 ★ dulu, tujuanku sebenarnya daftar twitter ingin pelajari versi kekinian dari meta ai buat dapatkan penghasilan ternyata banyak sekali kendala belum ini belum yang itu astaga semoga aku bisa tolong dev perbaiki bug semoga dipermudah sebelum percobaan dalam jangka waktu sangat panjang. 😕😒",2025-02-10 01:26:18
Pengguna Google,5,"Boleh saya memberi saran, saya menggunakan twitter di hp saya dengan versi android 8 (oreo). Dan terjadi sedikit lag saat scrolling beranda, terkadang bisa sampai force close applikasi. Jika berkenan mungkin bisa dipotimalkan dengan update kedepannya.",2025-01-17 07:28:34
Pengguna Google,3,Kalau sudah update malah tambah ngeleg padahal wifi lancar!! susah buat nonton kadang-kadang keluar sendiri dari aplikasi! ditingkatkan lagi min!,2025-03-27 03:36:04
Pengguna Google,5,"Twitter adalah platform yang luar biasa untuk terhubung dengan orang-orang dari seluruh dunia. Desainnya sederhana dan mudah digunakan. Saya suka bisa mengikuti berita terkini dan berbagi pendapat dengan cepat. Fitur 'Trending' sangat membantu untuk mengetahui topik hangat. Namun, terkadang banyak konten negatif yang bisa membuat pengalaman sedikit kurang menyenangkan. Secara keseluruhan, Twitter tetap menjadi aplikasi wajib bagi yang suka berinteraksi dan berbagi informasi!",2025-03-02 20:29:49
Pengguna Google,2,"aplikasinya suka gajelas. tiba-tiba suka log out sendiri, pas mau login lagi malah ada kesalahan teknis katanya. sekarang ini lagi ngalamin yang kedua kali, udah lakuin berbagai cara tetep gabisa. tolong diperbaikin!",2025-04-01 16:14:46
Pengguna Google,3,setelah berubah jadi X kenapa banyak masalah sih. login ke perangkat baru karena ganti hp malah kena penangguhan.. ini akun kedua coba login ulang ada dapet peringatan padahal masih satu perangkat. awas aja klo bermasalah terus saya kasih bintang 1. mo lapor CS bingung kemana lapornya. tolong perbaiki!!!,2025-03-22 03:38:07
Pengguna Google,4,"Jujur sepengalam saya pakai aplikasi ini agak kecewa dengan beberapa hal, saya telah menemukan konten yang saya cari😋, dan udah dapat ehh pas lagi mau nyimpan malah server atau apalah ngelag dan disuruh login ulang jujur saya kecewa padahal jika tidak karena beberapa hal itu kemungkinan besar saya kasih bintang 5 karena cukup lancar dan gak ada masalah bagi penyimpanan tapi masalahnya ada di login akun kenapa terus ngulang walaupun akun kembali lagi tapi tetap bikin kesel🗿",2025-03-04 02:55:58
Pengguna Google,2,"Menurut saya, setelah saya download lagi aplikasinya setelah satu tahun ngga pake ini kok tambah lemot ya? katanya ada kendala di jaringan saya padahal wifi-nya lancar jaya. Mohon diperbaiki lagi ya developer, jangan menguji kesabaran dan keimanan saya di bulan ramadhan ini. Sekian semoga saran saya bermanfaat. Terima kasih 🔥🔥🔥",2025-03-10 16:19:36
Pengguna Google,1,"jujur ngeselin banget sekarang apk nya. masaan setiap saya mau liat akun yg saya ikuti/follow, ga bisa dibuka. katanya ada kesalahan teknis, saya coba buka notifikasi juga ga bisa. puncak nya pas saya coba pencarian, dia tetap tidak bisa katanya ada kesalahan teknis dan pencarian yg saya cari tidak muncul. saya kira mah tadi karena harus di update dulu yekan karena udh lama banget mungkin ga saya update, cmn ini tadi barusan saya update dan saya buka tetap saja tidak bisa, masih sama.",2025-03-11 11:14:26
Pengguna Google,1,"sering nge lag ga jls, update trs tpi msh kek gtu aja ga berubah-rubah! bukannya tambah ada kemajuan, malah stuck disitu aja gegara kgaka bisa login pdhl sinyal+paketan ada full.",2025-03-10 16:45:06
Pengguna Google,1,kok apk ini makin ke sini makin sampah sih? 1. Bug pas Scrroling tiba² layar jadi hitam terus kembali ke beranda secara otomatis 2.setiap masuk X hp jadi agak lemot 3.bug suara ngk ilang² padahal video udah berhenti Perbaiki lah tod,2025-02-27 15:29:21
Pengguna Google,1,"Gw gak ngerti lg sm Twitter yg berganti nama jadi X ini. Gw buka akun selalu ditangguhkan padahal 4x gw bikin akun yg baru. Log in selalu begitu.. Banyak bug nya.. Kadang ada tulisannya ""tenang, ini bukan kesalahan anda"". Bukan kesalahan sy knp akun ditangguhkan terus?????? Jadi susah dan gak guna sosmed ini..",2025-03-08 23:12:36
Pengguna Google,5,"saya kasih bintang 5 namun tolong ya ke admin, setiap saya mau klik liat video itu selalu muncul iklan yg menurut saya mengganggu krn harus balikin apk nya.. terutama iklan shopee tuh..mending kl ga bawa virus yg bawa virus jadi nge leg ke hape kita nya..ga jadi saja buka videonya..mknya proses buka video aja harus serumit itu..tolong di tindak aja yaa",2025-03-11 04:11:50
Pengguna Google,1,"aplikasinya sering bermasalah dan banyak bug, berat juga mau liat video aja nyangkut² padahal sinyal bagus kok, tolong ya buat pihak X tolong diperbaiki aplikasinya biar lebih nyaman di pake orang²",2025-03-11 13:10:00
Pengguna Google,1,"Sudah diperbaiki update aplikasi X tapi saya buka org yg mengikuti tapi ga ada daftarnya malah ga ada error dan katanya jaringannya jelek,padahal kuota masih ada😢,tolong diperbaiki aplikasi X meski tadi sudah saya update,tetap aja jelek😢",2025-03-11 13:58:53
Pengguna Google,1,"Sementara bintang satu dulu, karena saat baru buka aplikasi X, update timeline sangat lambat dan lama pulihnya sampai berjam-jam. Saya coba perbarui aplikasinya, semoga ada perubahan.",2025-02-08 18:45:27
Pengguna Google,3,"tolong dong diperbaharui apk nya, padahal jaringan lancar tapi kenapa selalu loading ya pas buka, padahal sebelumnya lancar-lancar aja gak ada drama loading. udah di uninstall trus install lagi tapi tetep aja loading apalagi pas login lama banget loading nya",2025-03-10 16:22:50
Pengguna Google,1,"ini kenapa nggak bisa dibuka dah aplikasinya? loading terus dari semalem. padahal udah diperbarui juga. jaringan bagus banget, jadi benerin deh aplikasinya. nyebelin banget. makin lama makin jelek.",2025-04-01 05:22:50
Pengguna Google,5,"jelek sekarang, sering keluar tidak jelas, pas mau login server jelek... ini aplikasi jadi jelek... rusak bener ni aplikasi, tetap ga biaa masuk akun gw ... buat developer tolong perhatikan lagi bug bug yang mengganggu pengguna",2025-03-22 10:59:06
Pengguna Google,2,stlh update ni apk mlh tmbh rusak beranda ga mau restart konten terbaru hrs keluar dari apk dulu trs balik lagi pdhl dulu sblm di update g ky gini trs 1 bln terakhir ini sering lag dan ga bisa nerjemahin postingan yg sdg kita lihat tlg mslh sprti ini segera diperbaiki buat ga nyaman menggunakan aplikasi soalnya 🙏,2025-03-19 13:25:02
Pengguna Google,2,"beberapa hari ini pemutaran vidio sering tersendat harus play-pause, tiba-tiba akun keluar sendiri dan tidak bisa login. Selain dari dua masalah itu wifi dan koneksi saya lancar kenapa tidak dapat diakses secara normal?",2025-04-03 04:22:03
Pengguna Google,1,"app jelek, butut banget kocak. dikit' lemot, dikit' error. buka app lain lancar, giliran buka x, lemot nya minta ampun. dari dulu gitu aja terus, ga di fix.",2025-04-01 03:49:59
Pengguna Google,1,"padahal dulu nih apk termasuk yang paling aku sering pake lho, tapi gegara apalah ini ganti admin (?) jadi malah kek... ah sudahlah. malesin, lemot, buat ngapa-ngapain serasa nggak nyaman.",2025-03-17 13:28:18
Pengguna Google,4,"kebanyakan masyarakat mengeluarkan pendapat dengan logika dan secara dewasa disini (belum tentu 100% bener ya), dibandingkan sosmed lainnya yang isi nya kebanyakan bocah. X cocok jadi tempat yang isinya berita,jurnal,kasus,sampe suara rakyat 😌. misalnya ada yang jarang nonton berita ditv, buatku ini X lumayan jadi sumber berita, ada aja update-an nya walau pasti ada aja netizen yang salah tempat 😸",2025-03-26 08:59:04
Pengguna Google,1,"Semenjak Twitter ditangan elon jadi ga beres, tiba-tiba akun di log out sendiri, ditangguhkan gada sebab, pas masuk lagi malah ada kesalahan teknis. Mending lu fokus ke mobil tesla ama SpaceX lu aja dah gausah akuisisi aplikasi publik",2025-04-03 14:30:03
Pengguna Google,5,saya merasa aplikasi X ini adalah aplikasi yg bisa memahami pengguna nya ini aplikasi yg sangat menarik bisa berteman juga saya suka postingan nya tidak terlalu banyak mengedit banyak yg serius bukan sekedar konten tapi banyak kejadian berita menarik dan konten yg meng hibur juga dan banyak pengguna yg mengerti perasaan pengguna lain,2025-04-04 05:59:04
